episode_id,episode_name,release_date,episode_description,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares,thumbnail_url,thumbnail_url_maxres
uTs6SFeny5Q,Delaying Having Kids Is Impacting Your Future Kids! Dr Michael Eisenberg,2024-05-09,"Dr Michael Eisenberg is a Professor of Urology at Stanford University, and is a male fertility and sexual function specialist

Topics:
00:00 Intro
02:02 Why do you do what you do?
02:58 What does reproductive health encapsulate?
04:27 Fertility health is growing
06:14 Researching on fertility issues
06:46 Why are we seeing more infertility?
07:18 Are you concerned about society's fertility issues?
11:14 What chemicals are reducing our sperm count?
13:50 Society measures
14:59 Sperm quality
20:37 Micro plastics affecting sperm count
23:57 Technology and heat fertility damage
30:07 Countries with biggest fertility problems
32:41 Does sitting for long periods affect our sperm count?
33:53 Fertility issues caused by OBESITY
34:46 Alcohol consumption and sperm count
36:32 What you can do to give yourself the best chances of conceiving
39:08 Man or woman, who has the most issues?
40:06 Male testosterone decline
41:31 The impact of exercise on our sperm count
43:04 What does Testosterone do?
45:23 Side effects of taking testosterone
48:18 Common symptoms of testosterone use
51:01 Female fertility
51:57 How is testosterone therapy given?
54:15 Exercise and health impact on testosterone
55:04 Penis average size increasing
57:24 Erectile dysfunction treatments 
01:03:58 Pelvic floor strength
01:05:31 What causes cancer in the reproductive system
01:14:20 Other male issues Dr Michael is being asked about
01:15:47 Best diets for better fertility
01:24:41 What's next for Dr Michael
01:26:04 biggest concerns
01:27:14 Advice to men who are struggling
01:03:11 Does shock wave therapy work for erectile dysfunction?

This episode is sponsored by:
NordVPN: https://nordvpn.com/doac - gives you 4 extra months on the 2-year plan.
ZOE: http://joinzoe.com with an exclusive code CEO2024 for 10% off

Follow Michael:
Twitter - https://bit.ly/4bazMmQ

Follow me:
https://beacons.ai/diaryofaceo

Join this channel to get access to perks:
https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw/join",543454,5338157,589,10.68,2402,252,8982,302,1025,5583,https://img.youtube.com/vi/uTs6SFeny5Q/hqdefault.jpg,https://img.youtube.com/vi/uTs6SFeny5Q/maxresdefault.jpg
GHxXHKpMBm8,Mia Khalifa Opens Up About The Dark Side Of The Adult Entertainment Industry | E248,2023-05-18,"In this new episode Steven sits down with the Lebanese-American media personality, Sarah Joe Chamoun.

Topics:
0:00 Intro
03:00 Most defining moments
07:14 Lacking confidence
15:50 Getting married 18
22:23 Therapy
27:34 Being alone
30:08 Leaving the adult industry
34:00 Anxiety
36:25 The adult industry having control over you
47:33 Depression
50:07 How did your life change
55:37 TikTok 
57:30 Relationships
58:59 Your businesses 
01:00:17 Ingredients for a happy life
01:01:07 Who are you?
01:03:43  The last guest’s question

Follow Mia:
Instagram: https://bit.ly/438alxX
Twitter: https://bit.ly/42MroWs

You can follow Sarah’s Demi and fine-body jewellery brand, Sheytan, launching June 2023, here: https://bit.ly/3OjEVAr

My new book! 'The 33 Laws Of Business & Life' per order link: https://smarturl.it/DOACbook

Join this channel to get access to perks:
https://bit.ly/3Dpmgx5

Follow me: 
Instagram: http://bit.ly/3nIkGAZ
Twitter: http://bit.ly/3ztHuHm
Linkedin: https://bit.ly/41Fl95Q
Telegram: http://bit.ly/3nJYxST

Sponsors: 
Huel: https://g2ul0.app.link/G4RjcdKNKsb
Whoop: http://bit.ly/3MbapaY
AirBnB: http://bit.ly/40TcyNr",1822820,17979859,591,14.7,9593,463,25408,2374,2804,11258,https://img.youtube.com/vi/GHxXHKpMBm8/hqdefault.jpg,https://img.youtube.com/vi/GHxXHKpMBm8/maxresdefault.jpg
fybq6V74qRk,The Woman Who Helps NBA Stars To Sleep: Stop Having Showers Just Before Bed! Dr Cheri Mah,2024-08-05,"Quicker decision making and faster reaction times, here's how you sleep like an Olympian

Dr Cheri Mah is a sleep scientist and Professor at the Stanford Sleep Medicine Centre, specialising in the relationship between sleep and performance in elite athletes. 

0:00 Intro 
01:59 What do you do and why do you do it?
04:22 Who do you work with?
07:06 What are the misconceptions about sleep?
10:46 Study that increases performance by 12%
14:11 NBA players losing based on schedule
17:03 Players who slept more sprinted faster
18:49 Athletes who have changed their careers by focusing on sleep
22:05 Where to start getting better sleep?
23:18 Does sound/music hurt sleep quality?
24:39 Does temperature matter?
26:44 Food timing for better sleep
29:09 The food to eat before bed that will destroy your sleep
34:03 What to do for a racing mind?
35:34 What is the parasympathetic nervous system?
39:40 Emotional link to better sleep
41:44 Perception change on the importance of sleep
44:01 Cognitive performance and sleep
47:49 Sleep debt and how it works
52:22 Muscle memory and its connection to sleep
54:35 What's a nappucino?
56:05 Do naps work?
57:39 Is the snooze button bad?
01:00:10 Are there different chronotypes?
01:02:46 Does school start too early for kids?
01:04:32 What parents should know
01:07:47 Sleeping travel tips
01:12:13 Sleeping drugs
01:16:01 Does sex before sleep hurt quality of sleep?
01:17:34 What is the most popular question Cheri Mah gets asked?
01:20:21 How common is sleep apnea?
01:22:17 What excuses do we hear for prioritizing sleep?
01:23:52 Sleep and injury proneness
01:25:35 Waking up early makes Steven hungry
01:27:32 Is waking up in the middle of the night normal?
01:29:15 How much does alcohol affect my sleep
01:30:10 Guests last question

Follow Dr Cheri: 
Instagram - https://g2ul0.app.link/9kmHGQ1DHLb 
Twitter - https://g2ul0.app.link/9NTFNX3DHLb 


You can purchase the The Diary Of A CEO Conversation Cards: Second Edition, here: https://g2ul0.app.link/f31dsUttKKb 

Follow me:
https://g2ul0.app.link/gnGqL4IsKKb 

Sponsors:
PerfectTed: https://bit.ly/PerfectTed-DOAC with an exclusive code DIARY40 for 40% off",2639393,27957082,635,11,19004,533,49534,918,1495,51383,https://img.youtube.com/vi/fybq6V74qRk/hqdefault.jpg,https://img.youtube.com/vi/fybq6V74qRk/maxresdefault.jpg
om3RWW9GQQ4,Rita Ora: “I Lived With Constant Anxiety”…After Being Signed By Jay-Z At 18!!!,2023-07-17,"In this new episode Steven sits down with global superstar, Rita Ora.

0:00 Intro
02:27 Early context
08:16 Did you ever feel different?
13:45 Fear you'll lose it all
16:32 Your mother being diagnosed with cancer
20:45 Getting panic attacks
24:34 Why you?
28:50 Getting singed by Jay-Z
30:15 Advice you needed but didn't get
32:24 A desire to be wanted
35:49 Universal lessons you've learned over the years
38:26 Are you a confident person?
41:13 Do you now understand how you truly feel?
47:52 What's your relationship like with trust?
50:09 Your new album
52:25 How are you at dealing with failure?
55:01 Having a lot of people rely on you
58:52 Rita in a romantic relationship
01:05:12 Negativity from the press
01:06:42 Your new tracks
01:10:34 Are you driven or dragged?
01:14:08 The last guest's question

You can listen to Rita’s new album, ‘You & I’, here: https://bit.ly/3XRlIbY

Follow Rita:
Instagram: https://bit.ly/3pNzDDu
Twitter: https://bit.ly/3DaODym
TikTok: https://bit.ly/3pOSA8J
YouTube: https://bit.ly/3pGohRL


My new book! 'The 33 Laws Of Business & Life' per order link: https://smarturl.it/DOACbook

Join this channel to get access to perks:
https://bit.ly/3Dpmgx5

Follow me: 
Instagram: http://bit.ly/3nIkGAZ
Twitter: http://bit.ly/3ztHuHm
Linkedin: https://bit.ly/41Fl95Q
Telegram: http://bit.ly/3nJYxST

Sponsors: 
Zoe: http://joinzoe.com with an exclusive code CEO10 for 10% off
Huel: https://g2ul0.app.link/G4RjcdKNKsb",1600346,17044975,639,13.43,9111,271,21875,475,1195,4696,https://img.youtube.com/vi/om3RWW9GQQ4/hqdefault.jpg,https://img.youtube.com/vi/om3RWW9GQQ4/maxresdefault.jpg
HUoPA6oP6do,The Better-Sex Doctor: The Link Between Masturbating & Prostate Cancer! Dr Rena Malik,2024-04-01,"Dr Rena Malik is a Urologist & Pelvic Surgeon, her YouTube channel has over 1.8 million subscribers, where she releases weekly episodes on everything to do with sexual health education.

0:00 Intro
02:40 What is it you're seeking to do?
03:30 How do you define sexual health?
03:46 Do we understand our bodies?
05:10 Where does your training come from?
06:37 What's your training with the pelvic floor?
09:07 Why should our doctors be asking about our sexual health?
11:15 Is a weak pelvic floor in men linked to erectile dysfunction, and does sitting cause it too?
12:58 How much sex should couples be having?
14:42 Should we be experiencing pain during sex?
16:57 The vagina's expanding process
19:23 How do we communicate with our partners about sex?
22:21 What's the first step in re-building a good sex life?
26:22 Men vs women’s sexual desire as we age
29:11 Anticipation around sex causing more harm than good
30:11 Is a low libido a hormone problem?
32:29 Ways to increase testosterone
35:25 A decline in testosterone levels and sperm counts
36:37 Chemicals in everyday objects impacting sperm counts
38:30 How have sperm counts been decreasing over the years?
42:06 How do we increase our semen volume
43:56 Does masturbating improve my pelvic floor?
44:55 The impact our technology is having on our genitals
47:48 Does masturbation decrease testosterone levels?
49:17 Does too much masturbation have a bad effect on us?
51:10 Will masturbating make people blind?
51:29 What do you think of no nut November
53:05 Masturbating giving you more clarity of mind
56:23 Post nut clarity
01:01:48 Porn, is it bad?
01:05:47 VR headsets and porn
01:10:14 Trauma and how it relates to our sex lives
01:12:50 Can you have sex when pregnant?
01:13:33 Orgasms and the clitoris
01:19:36 What is an orgasm
01:23:16 Scheduling time for sex?
01:24:47 Is there a disparity on how long sex should actually take compared to how long it takes
01:28:25 Vagina myths
01:30:30 Pelvic floor exercises, how to do them
01:32:48 How do we know if we have pelvic floor issues
01:35:52 PENIS SIZE, is it possible to increase the size?
01:38:39 How big is a penis on average vs how big people think they should be?
01:41:50 Will my penis get smaller as we age?
01:43:08 Does body parts size indicate a bigger penis?
01:45:45 Labiaplasty
01:47:21 Squirting
01:50:16 Last guest question

Follow Rena:
Twitter - https://bit.ly/3VzI3vu
Instagram - https://bit.ly/3TDaRk6
YouTube - https://bit.ly/3vx9knV

Follow me:
https://beacons.ai/diaryofaceo

Shop the Conversation Cards: https://thediary.com/products/the-cards 

Sponsors:
Zoe - http://joinzoe.com with an exclusive code CEO10 for 10% off

Study mentioned:
https://www.health.harvard.edu/mens-health/ejaculation_frequency_and_prostate_cancer#:~:text=In%20fact%2C%20the%20reverse%20was,lower%20risk%20of%20prostate%20cancer.

This episode of The Diary Of A CEO was filmed at Gold Tree Studios, located in the heart of the Sunset Strip, West Hollywood, California",7095433,76693633,648,9.47,57535,1091,100970,2636,4675,65925,https://img.youtube.com/vi/HUoPA6oP6do/hqdefault.jpg,https://img.youtube.com/vi/HUoPA6oP6do/maxresdefault.jpg
A-8tPmQtYqs,"Harvard Professor: They’re Lying To You About Running, Breathing & Sitting! - Daniel Lieberman",2024-01-29,"If you enjoyed this episode, I recommend you check out my first conversation with Dr. Daniel Lieberman, which you can find here: https://www.youtube.com/watch?v=ujRwf1HdNjk

00:00 Intro
02:15 What do you do, and why do you do it?
03:24 Are we actually a good species?
05:26 Do our ancestors hold the answer to all our health needs?
07:47 Have we evolved to eat meat?
10:48 How did we learn to hunt and gather?
17:18 Have we evolved to breathe wrong?
19:43 Why do we sweat?
24:38 When did our brains get so big?
30:10 Why do we struggle to diet?
38:46 Modern-day mismatched diseases
42:56 Why did you write a book about food?
45:17 Has our culture moved too fast?
46:30 We've decided to live with diseases rather than prevent them.
50:28 The modern foods we eat have affected the way we look.
53:17 Is cancer a consequence of our modern society?
58:49 How our bodies store energy
01:05:38 The keto diet and fasting
01:09:59 Are we too comfortable as a society?
01:15:14 Puberty has changed, and we’re going into it earlier than ever before.
01:16:52 The dangers of sitting down all day like we do.
01:20:23 What should people take away most from this conversation?
01:24:31 The products we put on our bodies, are they toxic?
01:30:21 The last guest's question

YouTube: You can purchase Daniel’s book, ‘Exercised: The Science of Physical Activity, Rest and Health’, here: https://amzn.to/3vRfrTO

Get tickets to The Business & Life Speaking Tour: https://stevenbartlett.com/tour/

Follow me:
https://beacons.ai/diaryofaceo

Shop the Conversation Cards: https://thediary.com/products/the-cards

Sponsors: 
Huel Bundle: https://try.huel.com/steven-bartlett",1807480,20710272,687,12.25,18286,831,31193,1007,1704,23570,https://img.youtube.com/vi/A-8tPmQtYqs/hqdefault.jpg,https://img.youtube.com/vi/A-8tPmQtYqs/maxresdefault.jpg
ujRwf1HdNjk,"Harvard Professor: REVEALING The 7 Big LIES About Exercise, Sleep, Running, Cancer & Sugar!!!",2023-07-10,"In this new episode Steven sits down with the world renowned expert on the evolution of human physical activity, Dr Daniel E. Lieberman.

0:00 Intro
02:38 Why do you do this research?
03:35 Where has your work taken you?
04:34 Has your research shifted your perspective on exercise?
05:55 The biggest exercise myths
12:00 The importance of weight training
16:12 Why always moving your body is so important
19:47 Genetics vs lifestyle
24:20 Have we evolved to be lazy?
25:46 We should be preventing diseases, not medicating them
28:13 Do hunter-gatherers get the same diseases as us?
31:32 The truth about sugar
37:30 How would you redesign our society?
42:18 Should organisations force people to exercise?
48:25 What did you learn from these tribes?
50:03 Why you should do strength training on your feet
56:38 Is too much muscle bad?
01:01:46 Running myths
01:06:58 The best cardio workout
01:09:21 The best exercise for weight loss
01:15:59 Why we need more compassion around exercise
01:20:46 What is it that actually gets people exercising?
01:24:59 The last guest's question

You can purchase Dr Lieberman’s newest book, ‘Exercised: The Science of Physical Activity, Rest and Health’, here: https://amzn.to/49udz2v

My new book! 'The 33 Laws Of Business & Life' per order link: https://smarturl.it/DOACbook

Join this channel to get access to perks:
https://bit.ly/3Dpmgx5

Follow me: 
Instagram: http://bit.ly/3nIkGAZ
Twitter: http://bit.ly/3ztHuHm
Linkedin: https://bit.ly/41Fl95Q
Telegram: http://bit.ly/3nJYxST

Sponsors: 
Huel: https://g2ul0.app.link/G4RjcdKNKsb
Airbnb: http://bit.ly/40TcyNr",11876335,150789916,761,14.2,185414,2399,228630,5832,7984,223817,https://img.youtube.com/vi/ujRwf1HdNjk/hqdefault.jpg,https://img.youtube.com/vi/ujRwf1HdNjk/maxresdefault.jpg
WLWbFVKFffM,The Brain Doctor: 5 Popular Habits That Will Kill Your Brain Health!,2024-02-08,"If you enjoy hearing about the link between human evolution and exercise, I recommend you check out my first conversation with Dr Daniel E. Lieberman, which you can find here: https://www.youtube.com/watch?v=ujRwf1HdNjk

00:00 Intro
01:59 My Work: How Lifestyle & Exercise Affects the Brain
03:07 You Can Change an Ageing Brain
05:22 What Is a Neuron?
05:36 What Is the Hippocampus 
07:28 The Link Between Exercise and Brain
09:06 What Happens to Our Brain When We Don't Exercise
12:54 People Aren't Meeting the Guidelines for Good Health
15:25 What Activities Are Good for Our Brain?
17:35 Orienteering Can Train the Brain
18:47 How the Different Types of Exercise Increase Neuroplasticity
22:39 Impact of Exercising in Greener Spaces Than Urban
24:06 Better Cognition Exercising Before a Task
25:41 The Optimal Time of the Day to Exercise
27:46 The Hadza: Researching Hunter-Gatherer Tribes & the Findings
28:56 What Is the Optimal Exercising Time?
31:59 Cardiovascular Illnesses in Hadza Tribe
35:07 What's the Issue with Sitting?
40:29 The Power of Daily Small Amounts of Exercise
42:17 How to Improve Memory
46:08 Top Factors That Fuel Cognitive Problems
48:38 Link Between Human Connection & Brain Impact
50:54 Pollution Impact on the Brain
53:13 Racquet Sports for Brain Health
54:41 How Much Activity Do I Have to Do?
55:52 Endocannabinoid Receptors and Exercise Rewards
57:24 Mental Health Issues Linked to Lack of Exercise
01:01:45 Brain Foods
01:03:07 Reaching Optimal Living
01:07:50 What Causes Alzheimer's?
01:12:39 Last Guest Question


Follow David:
Twitter - https://bit.ly/483oZIF

My new book! 'The 33 Laws Of Business & Life' is out now - https://smarturl.it/DOACbook

Follow me:
https://beacons.ai/diaryofaceo

Sponsors: 
Huel: https://g2ul0.app.link/G4RjcdKNKsb
ZOE: http://joinzoe.com with an exclusive code CEO10 for 10% off",1150585,14663467,764,16.38,4835,557,24435,569,1295,14092,https://img.youtube.com/vi/WLWbFVKFffM/hqdefault.jpg,https://img.youtube.com/vi/WLWbFVKFffM/maxresdefault.jpg
ojNTQRW-SXM,Ronda Rousey: I Kept This A Secret My Entire Career! WWE Is A Mess!,2024-04-08,"Ronda Rousey was the first American woman to win an Olympic medal in judo, and UFC women's bantamweight champion from 2012 to 2015, she was also a professional wrestler in the WWE from 2017 to 2019, returning in 2022 before leaving in 2023.

00:00 Intro
02:10 Being Born With A Rare Disease
03:46 Ronda's Struggles as a Child
05:27 Her Father’s Death When She Was A Child
07:35 Finding Out About Her Dad's Suicide
10:38 Ronda's Mother
11:46 What's Been Ingrained in Her as a Kid
13:34 Becoming a Prodigy of Judo
15:59 Her Competitive Nature for Fighting
20:30 Moving in With Her Coach At 16
21:55 Her Struggles With Bulimia 
24:33 Getting Bullied for Her Physique 
25:49 Ronda Competing in the Beijing Olympics
26:30 Lack of Pay 
27:01 Our Dark Side Becomes The Driver Of Our Success
29:32 How Her Concussions Affected Her Career
36:15 Defeating People in 60 Seconds
37:43 Having Very Strict/Abusive Coaches
39:56 How Did It Impact You?
42:53 Coaches Crossing the Line...
47:34 What Dana White Said About Ronda
48:55 Why Were You Fighting So Frequently?
50:15 Being The First Woman to Appear on the UFC
50:33 The New Jackie Chang 
51:14 UFC 193 Ronda Vs Holly Holm
54:40 How Did You Feel After Losing?
58:14 Suicidal Thoughts
01:00:15 Ronda's Last Fight in the UFC
01:03:13 Her Husband Support During Tough Times
01:06:57 When Did WWE Come In?
01:10:44 Social Media Pressure
01:13:09 Did She Feel Expendable to the WWE?
01:13:30 Vince McMahon and Sexual Allegations
01:16:05 Ronda Suffering Two Miscarriages?
01:20:03 Where Does Her Happiness Come From?
01:27:32 Did Her Traumas Make Her Who She Is Today?
01:31:11 What She Learned From Her Dad?
01:33:04 Last Guest Question

You can purchase Ronda’s memoir, ‘Our Fight’, here: https://amzn.to/3vMPF3i

Follow Ronda:
Twitter - https://bit.ly/4cI3SPP
Instagram - https://bit.ly/3J4Tjc3
YouTube - https://bit.ly/3J2Qrwl

Follow me:
https://beacons.ai/diaryofaceo

Follow our Shorts channel for more content:
https://www.youtube.com/@TheDiaryofaCEOShorts

Join this channel to get access to perks:
https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw/join

Sponsors:
Shopify: https://www.shopify.com

This episode of The Diary Of A CEO was filmed at Gold Tree Studios, located in the heart of the Sunset Strip, West Hollywood, California",1067173,13622610,765,13.18,11249,323,26357,1087,2301,5534,https://img.youtube.com/vi/ojNTQRW-SXM/hqdefault.jpg,https://img.youtube.com/vi/ojNTQRW-SXM/maxresdefault.jpg
TqNrJNhcf5g,The Coffee Expert: The Surprising Link Between Coffee & Your Mental Health! James Hoffmann,2023-11-20,"If you enjoy hearing about the world of coffee, I recommend you check out my conversation with the founder of Pret, Julian Metcalfe, which you can find here: https://www.youtube.com/watch?v=uViyOJsc6O4

0:00  Intro 
02:09 Why Coffee?
03:55 Are We addicted To Coffee?
05:56 The Only Reason We Should Stop Drinking Coffee
08:38 Do We Get Immune To Coffee The More We Drink?
11:04 The Surprising Health Benefits Of Coffee
22:40 How Caffeine Actually Works
27:04 Becoming The World’s Number 1 Barista  Champion
28:16 The Biggest Misconceptions About Coffee
31:10 Blind Tasting Different Coffees 
43:43 Your Businesses
44:46 What Are The Topics About Coffee People Care Most About
53:14 Coffee Pods
54:50 The History Of Coffee 
58:14 Your Favourite Coffee Drink 
01:03:22 The Future Of Coffee 
01:06:10 What Coffee Should We Buy
01:09:52 What’s Your Sleep Like
01:11:11 Most Important Career Advice
01:15:43 How You Built Good Communication Skills
01:19:40 Closing Message About Coffee
01:20:42 The Last Guests Question

You can purchase James’ most recent book, ‘How to Make The Best Coffee at Home’, here: https://amzn.to/3sW2Rl6

Follow James:
Instagram: https://bit.ly/3SOu0Rn
Twitter: https://bit.ly/3ukOQOe

My new book! 'The 33 Laws Of Business & Life' is out now:
https://smarturl.it/DOACbook

Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX

Join this channel to get access to perks:
https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw/join

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://x.com/StevenBartlett?s=20
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/


Sponsors: 
Linkedin http://linkedin.com/doac
Shopify: http://shopify.com/bartlett
Huel: https://g2ul0.app.link/G4RjcdKNKsb",4349323,55946188,771,15.25,55198,1804,88306,2396,5655,45411,https://img.youtube.com/vi/TqNrJNhcf5g/hqdefault.jpg,https://img.youtube.com/vi/TqNrJNhcf5g/maxresdefault.jpg
